Nederlands;Gronings
Daar zijn ze vaak op de stoep aan het vissen.;Doar binnen ze voak op staaiger aan t vissen.
Dat moet je niet doen!;Dat most nait doun!
Kom nooit te dicht bij het water, jongen.;Kom noeit te dicht bie t daip, mien jong.
En zeker niet als het donker begint te worden.;En zeker nait as t duuster begunt te worden.
Weet jij van die knopen van Diekemoa?;Waist wel van dij knuppels van Diekemoa?
Zij wilden niet luisteren en zij gingen toch nog aan het vissen, zij wilden een paar dikke uilen vangen.;Dij wollen nait luustern en dij gingen toch nog aan t visken, ze wollen n poar dikke oalen vangen.
Maar jij komt niet bij diep daar,;Mor doe komst nait bie daip doar,
Want dan, ja dan pak je... Hebben ze die jongens allemaal wel eens weer gezien.;Want den, joa den pakt die....Hebben ze dij jongens aal wel ais weer zain.
Zitten ze bij op school?;Zitten ze bie op schoul?
Als het bij de diepe gaat, dan.... Ik schudde, dan roup ik heel hard: DE BOEZEKNOR!;As t bie daip komst, den....’ Ik schudkopte, den ruip ik hail haard: ‘de BOEZEKNOR!’.
Opa knipte.;Opa knikte.
Ik had het alweer goed geraadpleegd.;Ik haar t alweer goud roaden.
En zalf mijn jongen.;En Jampie mien jong.
kom ook nooit alleen in het Achterste Bos, daar gaat weg twee kanten op.......;kom ook noeit allenneg in t Achterste Bos, doar woardat weg twij kaanten op gaait.......
achter het hek van Koene, daar zit hij.;achter t hek van Koene, doar zit e.
Ja man oh man.;Joa man oh man.
Hij is groen en bruin en zit onder stijgel en blaar.;Hai is gruin en broen en zit onder stiekels en bloaren.
Op zijn hoofd groeien takken en hij heeft zulke grote handen.;Op zien kop gruien takken en hai het zukke grode haanden.
Als het op dat campetje groen land gaat spelen dan komt hij er aan en kruipt en sluipt door het bosdier.;As t op dat kampke gruin laand gaaist speulen den komt hai der aan en kroept en sloept deur bosderij.
Als je eventjes niet oplet, dan in eenens springt ie achter een boom weg en......;As je eefkes nait opletten, den in ainen springt e vanachter n boom vot en......
Da's de BOOSKLOPPER!, roup ik de....;‘Da’s de BOSKLOPPER!’, ruip ik den....
misschien is hij doodsbang.;sikkom aal stief van schrik.
Opa nijkopte en nam nog een slokje van zijn koffie.;Opa nikkopte en nam nog nslok van zien kovvie.
Die was allemaal koud geworden met de tijd.;Dij was aal kold worden in tied.
Opa knipte en laagde heel hard.;Opa knikte en laagde hail haard.
De kopjes trillen de dag op de tafel.;Kopkes trilden den op toavel.
En mijn jongen....;‘En mien jong....
ast bij boer Jonker zijn land door koren willen lopen.;ast bie boer Jonker zien laand deur koren lopen wilst.
Nee, nee, doe dat niet.;Nee, nee dou dat nait.
Ook daar is het erg gevaarlijk.;Ook doar is t slim gevoarlek.
Als je door dat koren gaat, kom je nooit meer daarheen.;Ast deur dat koren gaaist, den komst noeit meer toes.
het afgelopen jaar is het ook weer fout gegaan.;t Verleden joar is t ook nog weer verkeerd goan.
Balko en zijn kleine broertje.;Balko en zien lutje bruirtje.
Ja, die jongens van eerappelboer Holland, wilden immers niet luisteren.;Joa, dij jonkjes van eerappelboer Hollander, wollen ja nait luustern.
ze gingen wel het bier in en..;ze gingen wel t koren in en..
en snappo snappo snappo, daar had ze die knobbeln grijpen en in de nek greep.;en snappo snappo snappo, doar haar ze dij knuppels te pakken en greep ze in nek.
Eigen schuld, dikke bul.;Aigen schuld, dikke bult.
In het koor zit ......;In t koren zit ‘......
HET KORENWIJF!, fluisterde ik heel zacht.;t KORENWIEF!’, fluusterde ik hail zaacht.
Achter bij het kerkhofpad zijn de laatste drie lantaarns stuk.;Achter bie t kerkhofpad, woardat de leste drij lanteerns stuk binnen.
Daar zweven witte wijnen uit de slot, toen de winkels dichtgingen.;Doar zweven widde wieven oet sloot, as winkels dichtgoan.
dan gaat er nu een hond aan het blaffen.;den gaait der morzo n hond aan t blavven.
Hij heeft een grote mond met scherpe tanden.;Hai het n grode bek mit schaarpe tanden.
Zijn ogen zijn soms rood en de keer geel.;Zien ogen binnen sums rood en den weer geel.
Hij kwijlt erover en hij komt je achterna en de hap..;Hai kwielt der over en hai komt die achternoa en den hap..
snap...;snap...
heeft ie die.;het e die.
Ja mijn jongen, de worst verslindt door....?;Joa mien jong, den worst opvreten deur....?
Ik piepte erover.;Ik piepte der over.
Het werd buiten ook zo erg donker.;t Wuir boeten ook aal zo slim donker.
Hoe moest dat nou?;Hou mos dat nou?
Ik moest toch ook nog naar huis.;Ik mos ja ook nog noar hoes.
Opa keek me stevig aan. Nu de worst..????. Dat wordt opgegeten door ... DE BORRIES!;Opa keek mie stief aan.” Nou den worst..????.’ ‘Den wordst opvreten deur ...de BORRIES!’.
Opa nickte.;Opa nikkopte.
Ik had het alweer goed.;Ik haar t alweer goud.
En toen wilde ik bij opa op zijn schoot.;En den wol ik bie opa op schoot.
En dan stak opa zijn stinkpijp aan.;En den stak opa zien stinkpiep aan.
De rook prikte in mijn ogen.;De rook prikte in mien ogen.
Het leek alsof ik jaagde.;t Leek net of ik jaankte.
Dat was ook bijna zo.;Dat was ook sikkom zo.
Ik deed nog wel heel moeilijk.;Ik dee nog wel hail stoer.
Soms keek ik gauw naar de foto van oma.;Sums keek ik gaauw noar foto van oma.
Ze laagde me toe op de foto en toen ging opa opnieuw door.;Ze laagde mie tou op foto en den ging opa weer deur.
Ik wist alles zo goed.;Ik wist aalmoal zo goud.
Er kwamen er nog twee.;Der kwamen der nog twij.
In de regenput...;In regenput.....
de kat was helemaal weggelopen en zat onder de tafel.;kat was aal weglopen en zat onder toavel.
Mossvanger vond het zeker wel zo.;Moezenvanger von t zeker wel genog zo.
ik greep opa bij de schouder en luisterde. O wee, de grieze ging mij over de groef.;ik greep opa bie scholder en luusterde.O wee, de grieze ging mie over de graauwe.
Opa's stoel kroakte en hij zuigde nog eens goud aan zijn pijp...;Opa’s stoul kroakte en hai zoog nog ais goud aan zien piep.....
Nou mijn jongen.......?;‘Nou mien jong.......?
Ik had bijna geen stem meer over en ik moest dan ook nodig een plas doen.;Ik haar hoast gain stem meer over en ik mos den ook neudeg n plas doun.
Je weet wel wie de champagne is.;‘Waist ja wel jampie.
Achter het huis zit een diepe, grote regenput.;Achter t hoes zit n daipe, grode regenput.
Hij is zo groot.;Hai is zo groot.
Jong toch, je kunt er wel in zwemmen.;Jong toch, kinst der wel in zwemmen.
Die daar zit.;Dij doar zit.
Hij slaapt het liefst in het diepste water als jullie beedels bij het juffrouw op het schoentje zitten.;Dij slept t laifst in daipste wotter as jullie beudels bie juf op t kakschoultje zitten.
Weet je het: kom niet bij mij bij de regenput!;Waist t wel: Kom mie nait bie regenput!
Tilt nooit het deksel op.;Til noeit t deksel op.
Dan wordt hij wakker en dan wordt hij boos.;Den wordt e wakker en den wordt e vergrèld.
Dan klimt hij naar boven.;Den klimt e noar boven.
Nee..;Nee..
Jampi doe dat niet, nee doe dat nooit, want in de regenput......... ZIT JAN HOAK!;Jampie dou dat nait, nee dou dat noeit, want in regenput.........’ ‘zit JAN HOAK!’.
Het verhaal was nog niet afgelopen.;t Verhoal was nog nait oet.
"""Nee Jampie, doe dat nooit."" ""Ik rilde erover.";‘Nee Jampie, dou dat noeit.’ Ik rilde der over.
Nog een!!;Nog ain!!
Oh, en gisteren nog;Oh, en guster nog
Jampi, hier aan de overkant van de dip in de struikerij heeft de buurvrouw;Jampie, hier aan overkaant van t daip in stroekerij het buurvraauw
Buzz nog zien ze.;Buzze ze nog zain.
Of was het vorige week...?;Of was t veurege week.....
na zeven uur.;noa zeuven uur.
Er waren een hele boel, zei ze.;t Waren der n haile bult, zee ze.
Het kan ook nog wel half negen zijn. Opa keek de dag naar me.;t Kin ook nog wel haalf negen west wezen.’ Opa keek mie den aan.
Hij raapte met zijn hand over mijn rug.;Hai wreef mit zien haand over mien rug.
Ik keek de dappere terug en fluisterde .....;Ik keek den dapper terug en fluusterde .....
Ik kon mijn stem nauwelijks meer horen.;Ik kon mien stem hoast nait meer heuren.
Zo ging het altijd.;Zo ging t altied.
Slag voor slag.;Slag veur keer.
Opa luisterde en zei de slag voor de keer.;Opa luusterde en zee den slag veur keer.
Ik hoorde je heel niet jong. Ik schreeuwde heel hard SUKKERAAIWIEFKE OPA.;‘Ik heur die hail nait jong.’ Ik gilpte hail haard ‘SUKKERAAIWIEFKE opa.
Wel twintig. Opa nijkopte.;Wel twinteg.’ Opa nikkopte.
Nou mijn jongen, dat was het verhaal.;’Nou mien jong, dat was t verhoal.
Maar Jampie, kijk eens op de klok.;Mor Jampie, kiek ais op klok.’
copyright Jan Huttinga op tekeningen en verhalen.;copyright Jan Huttinga op taikens en verhoal.
Joah mijn jongen.;‘Joa mien jong.
Suikerrooiwifkes. Met een groot zwaai zette opa mijn den op de grond.;Sukkeraaiwiefkes.’ Mit n grode zwaai zette opa mie den op grond.
Toen deed ie de televisie aan en zei dat ik maar naar huis moest gaan.;Den dee e tillevisie aan en zee dat ik mor noar hoes goan mos.
lopen.;lopend.
Hij wilde nu naar het voetbal kijken.;Hai wol nou noar t voetbalen kieken.
Ik wist dat ik geen idee had.;Ik wis mie den gain road.
Langzaam, dat duurde ik wel niet meer.;Lopend, dat duurde ik ja nait meer.
in geen honderd jaar.;in gain honderd joar.
De televisie ging weer uit en met gepoest en een grote stapel kwam de fiets op batterij.;Tillevisie ging weer oet en mit gepoest en n bult gestommel kwam fiets op batterij.
Ik wist wel dat er geen voetbal voor stond.;Ik wis ja wel dat der gain voetbalen veur was.
en na dat afgrijselijk verhaal bracht hij me achter op de fiets naar huis.;en noa dat griezelverhoal brocht e mie achter op fiets noar hoes.
Allemaal fluwekul haar!, zei hij dan.;‘Aalmoal flaauwekul heur!’, zee e den.
Ja, maar toch.......;Ja, mor toch.......
.....en dan was er nog JONGBOREN;.....en den was der nog ‘ONGEBOREN
ROEL;ROULF’
Mijn vader zei dat hij in de schuur woonde of op zolderhuis woonde.;Mien pa zee, dat dij in schuur woonde of op zolder hoesde.
Dat mijn vader tweedehands gelogen heeft, heb ik hem nooit, nooit, nooit gezien!;Dat het mien pa biemekoar logen, ik heb hom noeit, noeit, noeit zain!
ook dank aan: Bert Wijnholds, Siemon Reker, Jan Siebo Uffen, K. ter Loan, T.internet;ook dank aan: Bert Wijnholds, Siemon Reker, Jan Siebo Uffen, K. ter Loan, T.internet
Gronings heeft een gouden taal K(R)EUZE nr.;Grunnegs – n golden toal K(R)EUZE nr.
0 22-05-2006 redactie:;0 22-05-2006 redaksie:
Verl. Oostweg 33,;Verl.Oosterweg 33,
Noordhoorn (0594-503095) e-mailadres: jan_b@hetnet.nl rondschrift voor liefhebbers rondschrift voor liefhebbers;Noordhörn (0594-503095) mailadres: jan_b@hetnet.nl rondzendbraif veur laifhebbers rondzendbrief veur liefhebbers
Inhoud:;Inhold: •
WAT;WAT
NU;NOU
WEER?;WEER?
REDACSIE. KEN JE DIZZE?;• REDAKSIE • KEN JE DIZZE?
WAT ZIJN JE NOOIT? • ZWART GAT • UTOPIE • OP EEN FIETS NAAR DE HOORN;• SWAART GAT • UTOPIA • OP E FIETS NOAR DEN HORN WAT NOU WEER?
Alsjeblieft moet je doen wat je niet kunt laten doen, in het Gronings.;Asmis mout je doun wat je nait loaten kinnen, in t Grunnegs.
Of wat schrijven, anderen schrijven laten, kennis maken laten met (on) bekend werk, nieuws, alles wat mij en u (jim) voor de voeten komt, of voor de mond.;Zulf wat schrieven, aandern schrieven loaten, kennis moaken loaten mit (on)bekend waark, nijs, aal wat mie en joe (jim) veur de vouten komt, of veur de mond.
Ogen en oren open, groeten, arregat zeggen, of arryazzes.;Ogen en oren open, groalen, arregat zeggen, of arrejazzes.
Aan vrienden laten lezen, aan familie, aan buren.;Aan vrunden lezen loaten, aan femilie, aan noabers.
En of het nu uitgaat;En of t nou oet
Het oosten komt, hè;Oost komt, of
Noord, of;Noord, of
Westerwollen, of vanaf hier;Westerwolle, of hier uut t
Westkwartier, wat kent hij, verschilt.;Westerkwartier, wat kint verschelen.
Kom maar op met wat je wilt verliezen: gedichten, verhalen, moppen, agenda-danijs....;Kom mor op mit wat je kwiet willen: gedichten, verhoalen, mopkes, agendanijs....
Ik begin met de cursisten van t Grunnegers voor beginners die meedoen in de Dörpsstad.;k Begun mit de kurzisten van “t Grunnegers veur begunners” dij mitdoan hemmen in de Dörpsstee.
Die geen belang heeft bij K (R) UZE, geef het maar even door.;Dij gain belang het bie K(R)EUZE, geft t mor even deur.
Het kan zijn dat er iets moois gaande is, het kan ook binnen de kortste keren terugkomen.;t Kin wezen dat er wat moois wazen gait, t kin ook binnen de körtste keren kullen.
REDACSIE Alenneg is maar alleen met zijn voor- en tegens.;REDAKSIE Allenneg is mor allenneg mit zien veurs en tegens.
Maar als er iemand (of twee, of drie...) willen helpen, is dat wel iets waard voor mij.;Mor as der aine (of twije, of drije...) helpen willen, is mie dat wel wat weerd.
(Koop koffie of thee of zoiets).;(Kop kovvie of thee of zukswat).
Denk er maar even over na, maar niet te lang.;Denk der mor even over, mor nait te laank.
KEN JE DIZZE?;KEN JE DIZZE?
Bij toeval ontdekt: www.dideldom.com Gedichten, verhalen, van alles wat.;Bij toeval ondekt: www.dideldom.com Gedichten, verhoalen, van alles wat.
Kijk zelf maar eens.;Kiek zulf mor ies.
Niet beleefd zonder lek en lek, maar dan weet je oké weer waarom jim een cursus heeft gegeven (of moet doen...);Niet bepoald zunder lek en brek, mor dan wiet je ok weer woarom jim n kurzus doan het (of doen moeten...)
ZWART;SWAART
GAT...;GAT...
Zondagavond niet;Smoandagsoavends gain
Dorpstee meer, geen cursuslader;Dörpsstee meer, gain kurzuslaaider
Loer die met diktes,;Loer dij je mit diktees,
Bijbelteksten of werkwoorden als euttiggeln slaat om de deuren.;Biebelteksten of waarkwoorden as “oettiggeln” om d’oren slagt.
Zwart gat na vijftien keer voorlezen, maggelen en verhalen van;Swaart gat noa vieftien keer veurlezen, maggeln en verhoal van
Ubel;Ubel
Werd op stoere woorden uit te pipperen (zal dit gronings zijn?);Wierda op stoere woorden oethippern (zol dit grunnegs wezen?)
Volgende cursus?;Vervolgkurzus?
Zou kunnen, maar daar moeten we dan eerst wel meer over weten.;Zol kinnen, mor doar mouten we din wel eerst meer over waiten.
Met een stuk of een paar mensen hebben we ook al over zoiets als een leescirkel gepraat.;Mit n stuk of wat mensen hemmen we ook al proat over zukswat as n leeskringe.
Ho ho, niet zo direct tegenspreken, als je een nieuwere naam weet....;Ho ho, nait doadelk tegensputtern, as je n nijmoodsere noam waiten....
Kom maar op!;Kom mor op!
Voor de zomervakantie wordt dat niets meer, maar vanaf september is er een aantrekkelijke mogelijkheid.;Veur de zummervekansie wordt dat niks meer, mor vanoaf september ist n aantrekkelke meugelkhaid.
Hoe zetten we dit in de staaigers?;Hou zetten we dit in de staaigers?
WAT GAAN WE DOEN?;• WAT goan we doun?
WAAR DOEN WE DAT?;• WOAR doun we dat?
(Dorfstadium wordt afgeslacht) • WIE DOET ER MET?;(Dörpsstee wordt vernijd) • WEL doun der mit?
WANNEER gaan WE krinkgelezen in het Gronings?;• WANNEER goan we krinkjelezen in t grunnegs?
Ieder persoon die zich aanspreekt voelt, wordt geprobeerd contact op te nemen met de redactie!;Elkenien die zuk aansproken vuult, wordt verzöcht kontakt op te nemen met redaksie!
UTOPIE WAAR BLIJVT JE LAND VAN GELUK WAAR JE NIET BENT EN IK JE MAAK;UTOPIA woar blifst laand van gelok woar doe nait bist en ik die mok
Uit: Tougalisch;Oet: “Tougelieks”
Verzameld;Verzoamelde
Grondiger;Grunneger
Gedichten 1977 - 1987;Gedichten 1977- 1987
Van Saul;Saul van
Messel;Messel
OP;OP
E;E
FIETSEN;FIETS
NOAR;NOAR
JOUWEN;DEN
HORN;HORN
Op de e-fiets naar;Op e fiets noar
Dan;Den
Horn, jim kan erger dingen denken.;Horn, jim kan je beroerdere dingen denken.
Bewegen is het magische woord van deze tijd, nietwaar?;Bewegen is t toverwoord van dizze tied, of niet dan?
Nou niet meteen beginnen te kauwen over die fiets van mij, met roestvlekken op de stok, stuur en wiel.;Nou niet votdoadelk begunnen te kauweln over die fiets van mij, met roestplekken op stang, stuur en velgen.
Dat komt doordat de provincie liefheeft in ruzie te gaan met zout vanaf het moment dat;Dat komt deurdat pervinsie liefhebbert ien streuen met zolt vanoaf t ogenblik dat
